Dataset,F1_measure,Accuracy,Precision,Recall,TimeToken
HDFS,0.999984,0.997500,1.000000,0.999969,0:00:00.099699
Hadoop,0.998989,0.947500,0.998158,0.999822,0:00:00.095281
Spark,0.991876,0.920000,0.983882,1.000000,0:00:00.103886
Zookeeper,0.999536,0.966500,0.999191,0.999880,0:00:00.078053
BGL,0.999599,0.962500,0.999244,0.999955,0:00:00.094487
HPC,0.990644,0.887000,0.985095,0.996256,0:00:00.069613
Thunderbird,0.999329,0.955000,0.999839,0.998819,0:00:00.099821
Windows,0.999994,0.997000,1.000000,0.999988,0:00:00.105915
Linux,0.992437,0.690000,0.984987,1.000000,0:00:00.091095
Android,0.995913,0.911000,0.998513,0.993326,0:00:00.139248
HealthApp,0.918381,0.780000,0.984845,0.860321,0:00:00.073610
Apache,1.000000,1.000000,1.000000,1.000000,0:00:00.071873
Proxifier,0.784886,0.526500,1.000000,0.645937,0:00:00.123826
OpenSSH,0.999221,0.787500,0.998443,1.000000,0:00:00.102116
OpenStack,0.994284,0.902000,0.988634,1.000000,0:00:00.139107
Mac,0.975451,0.786500,0.975946,0.974957,0:00:00.183723
